Time,El_grid,PV_feed,PV_self,E_hp,H_hp,E_boiler,H_boiler
268,6.4475691,0.0,0.0,5.7875691,17.362707,0.0,0.0
269,6.3579955,0.0,0.0,5.5079955,16.523987,0.0,0.0
270,6.6495596,0.0,0.0,5.6395596,16.918679,0.0,0.0
271,8.2260527,0.0,0.0,6.3960527,19.188158,0.0,0.0
272,11.271408,0.0,0.0,6.7414082,20.224225,0.0,0.0
273,11.59683,0.0,0.0712606,6.9880908,20.964272,0.0,0.0
274,9.9743588,0.0,2.3116939,6.3960527,19.188158,0.0,0.0
275,7.4985438,0.0,4.1867978,5.7053416,17.116025,0.0,0.0
276,6.8889463,0.0,3.3254947,5.524441,16.573323,0.0,0.0
277,11.355399,0.0,1.8570512,5.6724506,17.017352,0.0,0.0
278,7.3422108,0.0,2.8922302,5.524441,16.573323,0.0,0.0
279,8.1362933,0.0,1.4636927,5.359986,16.079958,0.0,0.0
280,8.3984998,0.0,0.5021497,5.3106495,15.931949,0.0,0.0
281,8.5535384,0.0,0.17910164,5.16264,15.48792,0.0,0.0
282,10.275531,0.0,0.0,5.195531,15.586593,0.0,0.0
283,9.1090855,0.0,0.0,5.1790855,15.537257,0.0,0.0
284,9.0033035,0.0,0.0,5.1133035,15.339911,0.0,0.0
285,8.98264,0.0,0.0,5.16264,15.48792,0.0,0.0
286,8.3590855,0.0,0.0,5.1790855,15.537257,0.0,0.0
287,7.589749,0.0,0.0,5.129749,15.389247,0.0,0.0
288,7.138422,0.0,0.0,5.228422,15.685266,0.0,0.0
289,6.9793225,0.0,0.0,5.4093225,16.227968,0.0,0.0
290,6.578659,0.0,0.0,5.458659,16.375977,0.0,0.0
291,6.2322135,0.0,0.0,5.4422135,16.326641,0.0,0.0
292,6.008422,0.0,0.0,5.228422,15.685266,0.0,0.0
293,6.0617395,0.0,0.0,4.9817395,14.945219,0.0,0.0
294,5.908185,0.0,0.0,4.998185,14.994555,0.0,0.0
295,6.1195119,0.0,0.0,4.8995119,14.698536,0.0,0.0
296,6.6315024,0.0,0.0,4.7515024,14.254507,0.0,0.0
297,7.9986833,0.0,0.088838215,5.0475215,15.142565,0.0,0.0
298,7.6296745,0.0,2.1102639,4.6199384,13.859815,0.0,0.0
299,3.2530728,0.0,4.3735006,4.1265733,12.37972,0.0,0.0
300,2.2030106,0.0,5.7459797,3.6989903,11.096971,0.0,0.0
301,1.4403148,0.0,6.614884,3.4851988,10.455596,0.0,0.0
302,1.1607353,0.0,6.2015725,3.4523078,10.356923,0.0,0.0
303,3.2721081,0.0,4.9150811,3.3371893,10.011568,0.0,0.0
304,5.3750699,0.0,3.0043469,3.4194168,10.25825,0.0,0.0
305,7.0579725,0.0,0.94016485,4.2581373,12.774412,0.0,0.0
306,12.349323,0.0,0.0,5.4093225,16.227968,0.0,0.0
307,13.27937,0.0,0.0,6.1493701,18.44811,0.0,0.0
308,10.432688,0.0,0.0,5.9026876,17.708063,0.0,0.0
309,10.129797,0.0,0.0,5.8697966,17.60939,0.0,0.0
310,9.4140146,0.0,0.0,5.8040146,17.412044,0.0,0.0
311,8.8513606,0.0,0.0,6.0013606,18.004082,0.0,0.0
312,8.1813606,0.0,0.0,6.0013606,18.004082,0.0,0.0
313,7.2353416,0.0,0.0,5.7053416,17.116025,0.0,0.0
314,6.7782326,0.0,0.0,5.7382326,17.214698,0.0,0.0
315,6.6688961,0.0,0.0,5.6888961,17.066688,0.0,0.0
316,6.5151045,0.0,0.0,5.4751045,16.425314,0.0,0.0
317,6.707332,0.0,0.0,5.557332,16.671996,0.0,0.0
318,6.407332,0.0,0.0,5.557332,16.671996,0.0,0.0
319,6.8537775,0.0,0.0,5.5737775,16.721333,0.0,0.0
320,6.8531141,0.0,0.0,5.6231141,16.869342,0.0,0.0
321,8.4571475,0.0,0.037530583,5.7546781,17.264034,0.0,0.0
322,9.48045,0.0,0.5586831,5.9191331,17.757399,0.0,0.0
323,10.569972,0.0,0.97627022,5.8862421,17.658726,0.0,0.0
324,8.0167,0.0,2.18485,5.49155,16.47465,0.0,0.0
325,8.4364183,0.0,2.2233307,5.129749,15.389247,0.0,0.0
326,4.2528774,0.0,4.5145965,4.3074739,12.922422,0.0,0.0
327,7.1242674,0.0,1.2803154,4.2745828,12.823749,0.0,0.0
328,7.2791,0.0,2.4295114,4.7186114,14.155834,0.0,0.0
329,9.2908492,0.0,0.7482363,5.1790855,15.537257,0.0,0.0
330,12.186906,0.0,0.0,5.8369056,17.510717,0.0,0.0
331,12.054299,0.0,0.0,6.7742992,20.322898,0.0,0.0
332,12.197664,0.0,0.0,7.2676643,21.802993,0.0,0.0
333,11.867712,0.0,0.0,8.0077118,24.023136,0.0,0.0
334,11.657949,0.0,0.0,8.2379488,24.713847,0.0,0.0
335,11.431551,0.0,0.0,8.961551,26.884653,0.0,0.0
336,10.803352,0.0,0.0,9.323352,27.970056,0.0,0.0
337,10.535153,0.0,0.0,9.6851531,29.055459,0.0,0.0
338,10.522262,0.0,0.0,9.6522621,28.956786,0.0,0.0
339,11.200983,0.0,0.0,10.490983,31.472948,0.0,0.0
340,11.694111,0.0,0.0,10.754111,32.262332,0.0,0.0
341,12.124585,0.0,0.0,11.214585,33.643754,0.0,0.0
342,12.618613,0.0,0.0,11.658613,34.97584,0.0,0.0
343,14.21776,0.0,0.0,12.21776,36.653281,0.0,0.0
344,16.484443,0.0,0.0,12.464443,37.393329,0.0,0.0
345,18.02145,0.0,0.12161809,11.823068,35.469205,0.0,0.0
346,18.017162,0.0,0.56675931,11.263921,33.791764,0.0,0.0
347,15.880974,0.0,1.3895817,10.770556,32.311669,0.0,0.0
348,12.980918,0.0,2.561581,9.8824991,29.647497,0.0,0.0
349,14.878948,0.0,2.2162047,9.6851531,29.055459,0.0,0.0
350,15.602046,0.0,2.2090786,9.2411245,27.723374,0.0,0.0
351,13.923586,0.0,1.9021829,8.8957689,26.687307,0.0,0.0
352,14.827699,0.0,1.1145158,8.9122144,26.736643,0.0,0.0
353,14.014612,0.0,0.24561154,9.060224,27.180672,0.0,0.0
354,14.480035,0.0,0.0,9.5700345,28.710104,0.0,0.0
355,14.880272,0.0,0.0,9.8002716,29.400815,0.0,0.0
356,15.457855,0.0,0.0,10.227855,30.683564,0.0,0.0
357,15.221457,0.0,0.0,10.951457,32.85437,0.0,0.0
358,14.300319,0.0,0.0,10.540319,31.620958,0.0,0.0
359,12.683826,0.0,0.0,9.7838261,29.351478,0.0,0.0
360,11.099561,0.0,0.0,9.1095605,27.328682,0.0,0.0
361,11.227381,0.0,0.0,9.7673806,29.302142,0.0,0.0
362,10.674916,0.0,0.0,9.454916,28.364748,0.0,0.0
363,10.99539,0.0,0.0,9.9153901,29.74617,0.0,0.0
364,11.274063,0.0,0.0,10.014063,30.042189,0.0,0.0
365,11.271409,0.0,0.0,10.211409,30.634227,0.0,0.0
366,12.209229,0.0,0.0,10.869229,32.607688,0.0,0.0
367,12.916765,0.0,0.0,10.556765,31.670294,0.0,0.0
368,15.085201,0.0,0.0,10.425201,31.275602,0.0,0.0
369,16.062708,0.0,0.11069147,10.0634,30.190199,0.0,0.0
